#,Group / Artist,Album,First-Week Sales (X),Est. Fansign Cut (Y),Source Citations,source_urls
1,ILLIT,SUPER REAL ME,380056,30,Twitter (X)theqoo,Twitter Searchtheqoo Search
2,BTS,Love Yourself: Her,759263,40,DC InsidePann Nate Archives,"DC Inside BTS GallerySearch on site for ""Her 팬싸컷"""
3,RIIZE,Get A Guitar,1016849,55,theqooDC Inside,theqoo SearchDC Inside RIIZE Gallery Search
4,BTS,Love Yourself: Tear,1003524,80,DC Insidetheqoo Archives,theqoo SearchDC Inside BTS Gallery
5,NewJeans,Get Up,1650181,60,theqooTwitter (X),theqoo SearchTwitter Search
6,ZEROBASEONE,YOUTH IN THE SHADE,1822028,70,Twitter (X)DC Inside,Twitter SearchDC Inside ZB1 Gallery Search
7,Tomorrow X Together,The Name Chapter: FREEFALL,2251959,65,Twitter (X)theqoo,Twitter Searchtheqoo Search
8,Tomorrow X Together,The Name Chapter: TEMPTATION,2180889,75,Twitter (X)DC Inside,Twitter SearchDC Inside TXT Gallery Search
9,Stray Kids,★★★★★ (5-STAR),4617499,95,theqooTwitter (X),theqoo SearchTwitter Search
10,SEVENTEEN,FML,4550214,110,theqooTwitter (X),theqoo SearchTwitter Search
11,KISS OF LIFE,Born to be XX,55890,10,Twitter (X),Twitter Search
12,BOYNEXTDOOR,WHO!,110442,20,Twitter (X)theqoo,Twitter Searchtheqoo Search
13,Taeyeon,To. X,169559,25,DC InsideTwitter (X),DC Inside Taeyeon Gallery SearchTwitter Search
14,Kang Daniel,REALIEZ,258995,25,DC InsideTwitter (X),DC Inside Kang Daniel GalleryTwitter Search
15,PLAVE,ASTERUM : 134-1,569289,50,Twitter (X)theqoo,Twitter Searchtheqoo Search
16,The Boyz,PHANTASY Pt.2,600325,45,Twitter (X)theqoo,Twitter Searchtheqoo Search
17,NMIXX,expérgo,630811,40,Twitter (X)DC Inside,Twitter SearchDC Inside NMIXX Gallery Search
18,(G)I-DLE,I feel,1163395,55,theqooTwitter (X),theqoo SearchTwitter Search
19,aespa,Drama,1130389,60,Twitter (X)theqoo,Twitter Searchtheqoo Search
20,LE SSERAFIM,UNFORGIVEN,1258001,65,theqooTwitter (X),theqoo SearchTwitter Search
21,ENHYPEN,DARK BLOOD,1322516,70,Twitter (X)DC Inside,Twitter SearchDC Inside ENHYPEN Gallery Search
22,IVE,I'VE MINE,1605948,70,theqooTwitter (X),theqoo SearchTwitter Search
23,TREASURE,REBOOT,1718517,85,Twitter (X)Weverse,Twitter SearchSearch on Weverse app/site
24,ATEEZ,THE WORLD EP.FIN : WILL,1707848,80,Twitter (X)theqoo,Twitter Searchtheqoo Search
25,NCT DREAM,ISTJ,3652897,100,theqooTwitter (X),theqoo SearchTwitter Search
